ID,Name,Genres,Platforms,Runs,ReleaseDate
0,Super Mario 64,3D Platformer,"Nintendo 64, Wii Virtual Console, Wii U Virtual Console, Switch",9174,1996-06-23
1,Minecraft: Java Edition,Sandbox,PC,6869,2011-11-18
2,Super Mario Odyssey,3D Platformer,Switch,4284,2017-10-27
3,Celeste,2D Platformer,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, Xbox One S, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",3815,2018-01-25
4,Mario Kart 8 Deluxe,Racing,Switch,7660,2017-04-28
5,Seterra,Misc,"PC, Android, iOS, Web",7763,1997-01-01
6,Portal,Puzzle,"PlayStation 3, Xbox 360, Xbox One, PC",3676,2007-10-09
7,Super Metroid,Action,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, New Nintendo 3DS Virtual Console, Switch, SNES Classic Mini, MiSTer, Analogue Super Nt",2826,1994-03-19
8,Getting Over It With Bennett Foddy,2D Platformer,"PC, Android, iOS",2561,2017-10-06
9,"Super Mario Sunshine""Platformer",3D Platformer,"GameCube, Wii, Switch",2575,2002-07-19
10,ROBLOX: Speed Run 4,Parkour,"PC, Android, iOS, Macintosh",5086,2013-01-01
11,Super Mario World,2D Platformer,"Super Nintendo, Wii Virtual Console, Nintendo 3DS Virtual Console, Wii U Virtual Console, Switch, SNES Classic Mini, Analogue Super Nt",3150,1990-11-21
12,Super Mario Bros.,2D Platformer,"Nintendo Entertainment System, Super Nintendo, Wii Virtual Console, Game Boy Advance, Wii, Nintendo 3DS Virtual Console, Famicom Disk System, Wii U Virtual Console, NES Classic Mini, Switch, SNES Classic Mini",2277,1985-09-13
13,The Legend of Zelda: Ocarina of Time,Action-Adventure,"Nintendo 64, GameCube, Wii Virtual Console, Wii U Virtual Console, iQue Player, Switch",3065,1998-11-21
14,The Legend of Zelda: A Link to the Past,Action-Adventure,"Super Nintendo, Wii Virtual Console, Nintendo 3DS Virtual Console, Wii U Virtual Console, Switch, SNES Classic Mini, MiSTer, Analogue Super Nt",2891,1991-11-21
15,Minecraft: Bedrock Edition,Sandbox,"PlayStation 4, Xbox One, PC, Android, iOS, Windows Phone, Macintosh, Linux, Oculus VR, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, Amazon Fire TV",2147,2011-08-16
16,SpongeBob SquarePants: Battle for Bikini Bottom,3D Platformer,"GameCube, PlayStation 2, Xbox 360, Xbox, Wii, backwards-compatible PlayStation 3",1084,2003-10-31
17,Resident Evil 2 (2019),Horror,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",2880,2019-01-25
18,Pou,Misc,"Android, iOS",3930,2013-02-14
19,ROBLOX: Piggy,Puzzle,"Xbox, PC, Android, iOS, Macintosh, HTC Vive, Oculus VR",4081,2020-01-23
20,Outlast,Horror,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, Nintendo Switch Lite, SwitchOLED",2043,2013-09-04
21,Hades,Roguelike,"PlayStation 4, Xbox One, PC, Macintosh, Switch, PlayStation 5, Xbox Series X, Xbox Series S",3330,2018-12-06
22,Minecraft (Classic),Sandbox,"PC, Web",3164,2009-05-17
23,Refunct,3D Platformer,"PlayStation 4, Xbox One, PC, Switch",1737,2015-10-16
24,Undertale,RPG,"PlayStation Vita, PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch, PlayStation 5, Xbox Series X",1808,2015-09-15
25,Hollow Knight,Action,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1705,2017-02-24
26,White Tiles 4: Piano Master 2,Rhythm,"Android, iOS",3755,2014-10-03
27,The Legend of Zelda: Breath of the Wild,Action-Adventure,"Wii U, Switch",1668,2017-03-03
28,Wii Sports Resort,Sports,"Wii U, Wii",2013,2009-06-25
29,There Is No Game,Misc,"PC, Android, iOS, Web",2383,2015-06-25
30,Crossy Road,2D Platformer,"Arcade, PC, Android, iOS, Web",2615,2014-11-20
31,Portal 2,Puzzle,"PlayStation 3, Xbox 360, PC",1333,2011-04-19
32,Bhop pro,Parkour,"Android, iOS",2241,2017-03-21
33,Grand Theft Auto V,Sandbox,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",1462,2013-09-17
34,Super Mario Bros. 3,2D Platformer,"Nintendo Entertainment System, Super Nintendo, Wii Virtual Console, Wii, Nintendo 3DS Virtual Console, Wii U Virtual Console, NES Classic Mini, Switch, SNES Classic Mini",1302,1988-10-23
35,Cuphead,2D Platformer,"PlayStation 4, Xbox One, PC, Macintosh, Switch, Xbox Series X, Xbox Series S",1714,2017-09-29
36,Luigi's Mansion,Action-Adventure,"GameCube, Wii",1129,2001-09-14
37,Mario Kart Wii,Racing,"Wii U, Wii, Wii Mini",2401,2008-04-10
38,Super Mario Galaxy,3D Platformer,"Wii, Wii U Virtual Console, Switch",1304,2007-11-01
39,New Super Mario Bros. Wii,2D Platformer,"Wii U, Wii, Wii U Virtual Console",1312,2009-11-12
40,Call of Duty: Black Ops Cold War Zombies,First-person shooter,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",2387,2020-11-12
41,The Simpsons: Hit & Run,Sandbox,"GameCube, PlayStation 2, Xbox, PC",842,2003-09-16
42,Sonic Adventure 2: Battle,3D Platformer,"GameCube, Dreamcast, PlayStation 3, Xbox 360, PC",1216,2001-06-23
43,Spelunky 2,Roguelike,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1338,2020-09-15
